ID;Comment_date;Comment;Gender;Rate;Category
72;2023-05-01;Сидр ,такой себе химический. Ну в целом посидеть можно. ( Еду не заказывали).…;м;3;Алкоголь
73;2025-08-10;Офигенное место, вкусные коктейли, отличный персонал и грамотно подобранное музло!;м;5;Алкоголь
74;2023-11-07;…переосмыслить жизненные ситуации под приятное сочетание бокала виски со льдом (чрезмерное употребление алкоголя вредит вашему здоровью) под приятную музыку…;м;5;Алкоголь
75;2024-04-12;Душевное место. Днем поесть, пива попить. Вечером коктейли и оригинальные настойки. Всегда подборка хорошей музыки и отличное настроение!…;м;5;Алкоголь
76;2025-01-07;Отличное заведение: вкусная еда, хороший алкоголь, шикарные бармены. Всем рекомендую, но с коктейлями надо быть осторожными, расчитывать свои силы)));ж;5;Алкоголь
77;2025-03-29;Отличное место, коллектив просто, огонь, пиво не дорогое а хреновуха просто шиииик, это место я рекомендую и сам обязательно вернусь!!!)))…;м;5;Алкоголь
78;2022-07-20;…Но каждый раз бар с блеском справлялся с возлагаемыми на него задачами. Первое посещение: вечерний пик заскочили с коллегой поболтать перекусить, вкусные бургеры и холодное пиво к нашим услугам.…;м;5;Алкоголь
79;2023-09-20;Соседский бар на районе. Общение не формальное. Алкоголь качественный, никаких проблем не было. Бывает много сильно пьяных людей…;ж;5;Алкоголь
80;2024-05-23;Очень душевный бар! Вкусные коктейли, настойки собственного приготовления и вкусная еда);ж;5;Алкоголь
81;2023-06-25;Отличный бар! Шикарная атмосфера, общительный и с хорошим чувством юмора бармена. Напитки вкусные, меню кухни прекрасно дополняет алкогольное меню. Начос очень понравились.…;ж;4;Алкоголь
82;2023-08-21;Если вы любите вкусные коктейли, рок н рол и барные стойки- место для вас. Маленький, но очень атмосферный бар. Бармены все крутые,но Ольгу отмечу отдельно.…;ж;5;Алкоголь
83;2022-10-14;Сегодня 14.10.22 в бизнес ланче был подгоревший суп. На просьбу заменить суп, администрация не предприняла никаких действий и даже не извинилась.…;ж;1;Еда
84;2019-11-05;Бар для своих (в пятницу посетили). Пиво всего пару видов. Бар позиционируется как коктейль бар, закуски почти нет (бургеры и все);м;2;Еда
85;2023-04-10;Не плохой атмосферный бар. Коктейли на любой вкус, с едой конечно похуже, но ведь это в первую очередь бар.;м;4;Еда
86;2021-10-31;На один раз сойдёт, обычный средненький бар без изюминки. Просто стандартная еда и алкоголь, эффекта вау не произошло, ожидали большего;м;4;Еда
87;2023-05-10;Еда не очень. Возможно на мой субъективный взгляд. Нет разнообразия. Место мало.;м;3;Еда
